"Firma";"Website";"Bedarf";"DL Beschreibung";"Geschäftsführung";"Gefundene E-Mails";"GF-Mail (belegt/rekonstruiert)";"Hinweis"
"neuraforce GmbH";"https://neuraforce.com/";"Ja";"• On-Premise Machine-Learning-Lösungen auf Kunden-Hardware (seit 2020)
• Vorgefertigte KI-Modelle und Training kundenspezifischer ML-Modelle
• Erstellung und Erweiterung von Datensätzen
• Datenschutzkonform, offline nutzbar, niedrige Latenz";"Hans Wolff";"info@neuraforce.com";"";"Impressum (/de/imprint): Geschaeftsfuehrer Hans Wolff. Nur Sammeladresse info@, kein persoenliches Muster belegt."
"NeuroForge GmbH & Co. KG";"https://neuroforge.de/";"Ja";"• KI- und Big-Data-Spezialist (Bayreuth, seit 2019)
• Chatbot-/AI-Colleague-Entwicklung, AI-Services, Custom Software
• Big Data Services und Technologieberatung
• Vollständig remote, Kunden von Startups bis DAX";"Martin Braun, Tobias Hertkorn";"kontakt@neuroforge.de";"";"Wix-Seite, JS-gerendert; GF via WebFetch ermittelt. Nur kontakt@-Sammeladresse."
"NeurologIQ Engineering GmbH";"https://neurologiq.com/";"Ja";"• KI-Beratung und -Engineering für Industrie/Fertigung
• Industrial-AI-Assessments, Strategie-Workshops, Custom AI Engineering
• Prozessoptimierung, Bestandsplanung, automatisierte Qualitätsprüfung
• 50+ Projekte seit 2018, Fokus KMU";"Simon Sack";"think@neurologiq.de";"";"E-Mail verschleiert im Impressum (think noSpam @neurologiq noSpam .de) -> think@neurologiq.de. Nur Sammeladresse."
"Neurotech AI Solutions GmbH";"https://www.alphaneural.io/";"Vielleicht";"• AI-Infrastruktur-Protokoll / protokoll-native Cloud (Berlin/Zug)
• Plattform zum Hochladen und Monetarisieren von Modellen, Agenten und Datensätzen
• Sofort-Deployment über dezentrales GPU-Netzwerk
• Marktplatz plus Enterprise-Integration";"";"";"";"Reine JS-SPA, kein serverseitiger Inhalt; Impressum nicht abrufbar (WebFetch 503). Keine Daten belegbar."
"neusinger GmbH";"https://neusinger.ai/";"Ja";"• KI-Systeme und Agenten für Unternehmensautomation (Frankfurt, seit 2018)
• Agentic AI, Enterprise LLM/RAG, MLOps, Datenplattformen
• Produkte: Price List Intelligence, Business Document Intelligence, Finance Agent
• AI Governance/Compliance, Schulungen";"Eduard Singer, Sergej Neustadt";"contact@neusinger.ai";"";"Impressum nennt beide als Vertretung. Nur contact@-Sammeladresse, kein persoenliches Muster."
"new.business.digital UG";"https://newbizdigital.de/";"Vielleicht";"• Beratung zu digitaler Transformation und Geschäftsmodell-Modernisierung
• Angewandte KI: Beratung und Umsetzung von Machine-Learning-Lösungen
• Workshops zum KI-Know-how-Transfer für Teams";"Dr. Michael Groezinger (Geschaeftsfuehrender Gesellschafter)";"info@newbizdigital.de";"";"Nur Sammeladresse info@, kein persoenliches Muster belegt."
"NewNow Group Gmbh";"https://www.newnow.group/";"Vielleicht";"• Integration von KI in menschliche Entscheidungsprozesse (AI Workers, Decision Cockpits)
• Data Analytics, Machine Learning, Predictive Analytics
• KI-Strategieberatung; Standorte in mehreren europäischen Städten";"Katja Spoerl";"info@newnow.group; career@newnow.group";"";"Aktuelles Impressum (/legal-notices) nennt Managing Director Katja Spoerl; aeltere Datenschutz-Version nennt Johanna Hettinger und Otmar Debald. Nur Sammeladressen."
"NEXALTA NETWORKS GmbH";"https://www.nexalta.com/";"Vielleicht";"• Dezentrale, selbstgehostete Cloud-Lösung mit Zero-Knowledge-Technologie
• Nexalta Healthcare: sichere Datenplattformen mit KI und Medical IoT
• Nexalta Mobility: SD-WAN-Netzwerke mit Edge-AI";"";"hello@nexalta.com";"";"Impressum-/Team-Seiten liefern 404; nur hello@ von der Startseite belegt. GF nicht ermittelbar."
"nexamind GmbH";"https://nexamind.io/";"Vielleicht";"• Entwicklung maßgeschneiderter KI-Agenten für Unternehmen (Vertrieb, Compliance, Kundenservice)
• AI-Transformation und Roadmap-Beratung
• Voice-Agenten und Chatbots; embedded-Ansatz";"Rene Dalock, Sebastian Hoitz, Oliver Alf";"info@nexamind.io";"";"Imprint nennt drei Managing Directors. Nur info@-Sammeladresse."
"Nibiru Systems GmbH";"https://nibiru-systems.de/";"Ja";"• AI as a Service: KI-Beratung und Umsetzung, Data-Science
• Deep-Learning-Implementierung und Machbarkeitsstudien
• Produkt PreMade: Predictive Maintenance / Maschinenüberwachung";"Anton Bosse, Marvin Arnold";"anton.bosse@nibiru-systems.com";"anton.bosse@nibiru-systems.com";"Persoenliche GF-Mail (Anton Bosse) woertlich im Impressum belegt. Muster vorname.nachname@nibiru-systems.com; fuer Marvin Arnold rekonstruierbar marvin.arnold@nibiru-systems.com (rekonstruiert)."
"Niologic GmbH";"https://www.niologic.com/de/";"Vielleicht";"• Strategische Data-Insights: Cloud Data Engineering, Advanced Analytics, MLOps
• Data-Science-Beratung, Coaching und Workshops
• Branchen: Fertigung, Einzelhandel, Transport, öffentliche Sicherheit";"Dr. Alexander Nichau (Gruender & Geschaeftsfuehrer)";"info@niologic.de";"";"GF Dr. Alexander Nichau auf der Website genannt; Impressum enthaelt nur info@niologic.de, kein persoenliches Muster."
"Nocturne GmbH";"http://nocturne.one/";"Ja";"• KI-gestützte Analyse von Netzhautbildern (OCT-Scans) für klinische Studien
• Produkt Retina Report mit 3D-Morphometrie für neurologische Erkrankungen
• Biomarker-basierte Endpunkte und Patientenauswahl";"Dr. Ella Maria Kadas (Managing Director); Dr. Sunil Kumar Yadav (Co-founder)";"info@nocturne.one";"";"Kein regulaeres Impressum (404); GF von /about-us. Mail verschleiert (info(at)nocturne.one) -> info@nocturne.one. Kein persoenliches Muster."
"Nooxit GmbH";"https://www.nooxit.com/";"Vielleicht";"• KI-Agenten für Einkauf, Zoll, Buchhaltung und Steuern
• End-to-End-Automatisierung des Source-to-Pay-Zyklus
• Integration mit 30+ ERP-/Procurement-Systemen in 40+ Ländern";"David Weber, Michael Ratte";"info@nooxit.com";"";"Imprint: Vertreten durch David Weber und Michael Ratte. Nur info@-Sammeladresse."
"nova motum Services & Consulting GmbH";"https://www.novamotum.net/";"Vielleicht";"• KI-Beratung und Integration von KI in Geschäftsprozesse
• Smarte KI-Lösungen und mobiles Datenmanagement
• Positioniert als erfahrener AI-Manager (IHK)";"Dipl.-Ing. Volker Kohl";"info@novamotum.net";"";"Impressum: Geschaeftsfuehrer Volker Kohl. Nur info@-Sammeladresse."
"NovelSense UG";"https://novelsense.com/";"Vielleicht";"• KI-Beratung: Automation und Agentic AI in Prozessen
• Prototyping, Forschungsprojekte, Data Science
• Echtzeit-Klassifizierungssysteme und Sensorverarbeitung";"Sascha Rudolph (Dr.-Ing. Markus Scholz ppa./Prokura)";"info@novelsense.com";"";"Imprint: Represented by Sascha Rudolph, Dr.-Ing. Markus Scholz (ppa. = Prokurist). Nur info@-Sammeladresse."
"nuwacom GmbH";"https://www.nuwacom.ai/";"Vielleicht";"• Sicheres KI-Betriebssystem für europäische Unternehmen
• AI-Chat, KI-Agenten, Workflow-Orchestrierung, Context Engine
• Model-agnostisch, EU-Hosting, GDPR/ISO-27001";"Sascha Boehr, Alexander Kleinen, Christophe Folschette";"info@nuwacom.ai";"";"Imprint nennt drei Managing Directors. Nur info@-Sammeladresse."
"nyris.io";"https://nyris.io/";"Ja";"• Visuelle Suchmaschine zur Ersatzteil- und Produktidentifikation
• Produkte: Spare Parts Search Suite, Visual Search APIs, synthetische 3D-Daten
• Kunden: IKEA, Volkswagen, Trumpf, Bühler in 50+ Ländern";"Dr. Anna Lukasson-Herzig, Markus Lukasson";"hi@nyris.io";"";"Impressum: Geschaeftsfuehrer Dr. Anna Lukasson-Herzig und Markus Lukasson. Nur hi@-Sammeladresse."
"Omega Space GmbH";"https://omega-space.org/";"Vielleicht";"• Entwickelt ΩMEGA Assistant/Plattform auf Basis von Hybrid Intelligence
• Kombination von ML/KI mit menschlicher Expertise zur Stärkung der Resilienz
• Plattform zum Debattieren und Bewerten komplexer Themen";"";"";"";"JS-gerenderte Seite, Impressum nicht abrufbar (WebFetch 403, curl liefert kein Impressum). Keine Daten belegbar."
"OMMM Operations Management Solutions GmbH";"https://ommm.ai/";"Vielleicht";"• KI-gestützte Produktionsplanung in Echtzeit für die Prozessindustrie
• Module: Production Planning, Demand Planning, Business Planning
• Add-On zu ERP-Systemen wie SAP";"Dr. Gabriele Reith-Ahlemeier, Reinhard Vanhoefen";"";"";"Impressum nennt beide Geschaeftsfuehrer/innen; E-Mail als '*protected email*' verschleiert, nicht extrahierbar."
"Omni:us";"https://www.omnius.com/";"Ja";"• KI-gestützte End-to-End-Automatisierung von Versicherungsschäden
• Dokumenten-Intake mit NLP und Computer Vision (Schadenfotos, Scans)
• Modelle trainiert auf 3 Mio.+ annotierten Schäden und 80 Mio.+ Dokumenten";"Thomas Hauschild (CEO), Martin Micko (COO)";"";"";"Impressum unter /legal/. GF genannt, aber keine E-Mail auf der Seite belegt."
"Omnifact GmbH";"https://omnifact.ai/";"Vielleicht";"• Enterprise-AI-Plattform für regulierte Branchen
• Produkte: Chat (Generative AI) und Spaces (KI-Assistenten auf internen Daten)
• Privacy Filter™ zur Datenmaskierung, GDPR/ISO 27001, DE-Hosting";"Florian Reifschneider, Patrick Helmig";"hello@omnifact.ai";"";"Impressum /legal-notice (JS). Nur generische Mail belegt, kein persoenliches Muster."
"One Thousand";"https://onethousand.ai/";"Vielleicht";"• KI-Beratungsunternehmen aus Berlin/Düsseldorf
• Entwicklung produktionsreifer Enterprise-KI-Anwendungen
• KI-Strategie und Identifikation von Use Cases
• Aufbau interner KI-Kompetenz bei Kunden";"Tim R. Schleicher";"hello@onethousand.ai";"";"Impressum /imprint. Nur generische Mail."
"Onsai";"https://www.onsei.de/";"Ja";"• Voice-KI-Plattform für das Gastgewerbe (""Voice of Hospitality"")
• Automatisierte Sprachassistenten für Anrufe/Kundeninteraktion
• Conversational AI und Spracherkennung";"Jochen Sebastian Emig";"";"";"Website (onsai.com) JS-gerendert, Impressum nicht abrufbar. GF aus Handelsregister/Creditreform (ONSAI GmbH, Leipzig, HRB 43459), nicht woertlich von der Website. Keine E-Mail belegt."
"OofOne GmbH";"https://oofone.de/";"Vielleicht";"• Softwareagentur aus Mainz
• App-Entwicklung und -Modernisierung
• KI-gestützte Automatisierungslösungen
• Performance-Optimierung von Web/Apps";"Alexander Seidmann";"info@oofone.de; hello@oofone.de";"";"Impressum. Nur generische Mails, kein persoenliches Muster."
"OSPHIM GmbH";"https://osphim.com/";"Ja";"• SaaS-Plattform für KI-gestützte Kunststoffverarbeitung
• Maschinenanbindung und Produktionsdatenanalyse
• Anomalieerkennung und Prozessoptimierung per ML
• Echtzeit-Dashboards und KPI-Monitoring";"Louisa Desel, Yannik Lockner";"info@osphim.com";"";"Impressum. Nur generische Mail."
"OTEA Digital";"https://otea.digital/";"Vielleicht";"• Beratung für generative KI im Mittelstand
• KI-Strategie, Governance und DSGVO-konforme Infrastruktur
• Mitarbeiterqualifizierung und Schulungen
• Implementierung konkreter KI-Use-Cases";"Jan Hendrik Plueer";"admin@otea.digital; hallo@otea.digital";"";"Impressum. Nur generische Mails."
"Overfly GmbH";"https://www.overf.ly/";"Vielleicht";"• Beratung für angewandte KI
• KI-Strategie von Exploration bis Produktivbetrieb
• Praktische Umsetzung von KI-Lösungen";"Christian Kloetzer, Cedric Deege";"info@overf.ly";"";"Impressum /imprint. Nur generische Mail."
"Oxolo GmbH";"http://www.oxolo.com/";"Ja";"• KI-Sprachassistentin für die Baubranche
• Diktat-basierte Dokumentation, Transkription und Berichtserstellung
• Automatische Übersetzung in 30+ Sprachen, Sprechererkennung
• SaaS-Abomodell";"Heiko Hubertz";"team@oxolo.com; gdpr@oxolo.com";"";"Impressum /legal/notice. Nur generische Mails."
"P-CATION";"https://p-cation.de/";"Vielleicht";"• KI-Beratung für den Mittelstand (Arnsberg)
• Potenzialanalyse und KI-Strategie
• Eigene KI-Assistenzplattform LIVOI (DSGVO, deutsches Hosting)
• Integration mit Teams, WhatsApp, OpenAI, Azure";"Gowshiga Natkunarajah";"hello@p-cation.de";"";"Impressum. Nur generische Mail."
"pacemaker Solutions GmbH";"https://pacemaker.ai/";"Ja";"• Corporate-Startup von thyssenkrupp
• ML-Plattform für nachhaltige, optimierte Lieferketten
• Demand Forecasting, Replenishment und Rohstoffpreisprognosen
• CO2-/Nachhaltigkeitsmanagement (CSRD/EU-Taxonomie)";"Christian Jabs (Chairman), Dr. Christian Pixberg";"impressum@pacemaker.ai";"";"Impressum. Nur generische Mail."
"paiqo GmbH";"https://paiqo.com/";"Ja";"• KI- und Data-Science-Beratung und -Implementierung
• Eigene Forecasting-Plattform prognotix und Agentic-AI-Lösungen
• Predictive Maintenance, Qualitätskontrolle, Visual Inspection
• Data-Analytics-Plattformen und SAP/Azure-Migration";"Dr. Michael Baumann, Clemens Mueller, Markus Nemeth";"contact@paiqo.com";"";"Impressum, Mail verschleiert als contact[at]paiqo.com. Nur generische Mail."
"Palatin Intelligent Solutions GmbH";"https://www.palatin.ai/";"Ja";"• Industrial-AI- und Data-Science-Beratung/Entwicklung
• Umsetzung von Machine Learning, Computer Vision und Generative AI
• Fokus Produktion, Logistik und Agrifood
• KI-Schulungen und Wissenstransfer";"Juergen Philipp Bruns, Bjoern Groenewold";"info@palatin.ai";"";"Impressum. Nur generische Mail."
"Panos AI GmbH";"https://panos.ai/";"Vielleicht";"• KI-Plattform zur automatisierten Analyse von Automatisierungs-/KI-Potenzialen
• Matching passender Softwarelösungen aus dem Markt
• Verarbeitung unstrukturierter/inkonsistenter Daten
• Datengestützte Entscheidungshilfe für Management";"Frank Spangenberg";"legal@panos.ai";"";"Impressum /en/legal/notice (JS). Nur generische Mail."
"Paradatec GmbH";"https://www.paradatec.de/";"Ja";"• Intelligent Document Processing (IDP)
• Automatisierte Dokumentenanalyse mit ML, SLM und LLM
• OCR/ICR-Klassifizierung und Datenextraktion
• Verarbeitet ca. 2 Mrd. Seiten/Jahr, ISO 27001";"";"kontakt@paradatec.de";"";"Kein Impressum/GF-Name auf der Website gefunden (nur Datenschutz mit Verantwortlicher = Firma). Nur generische Mail."
"paretos GmbH";"https://www.paretos.com/";"Ja";"• Decision-Intelligence-Software mit Agentic AI
• Demand Forecasting, Bestands- und Produktionsoptimierung
• Business Agent ""Socrates""
• Kunden u.a. Otto Group, HelloFresh, EDEKA";"Fabian Rang, Thorsten Heilig";"hello@paretos.com";"";"Impressum /imprint. Nur generische Mail."
"Parloa GmbH";"https://www.parloa.com/";"Ja";"• Plattform für KI-Agenten im Kundenservice
• Automatisierte Sprach- und Chatagenten, mehrsprachig
• Design, Test, Skalierung und Optimierung von Kundengesprächen
• Branchenlösungen (Finanzen, Utilities, E-Commerce, Health)";"Malte Kosub";"contact@parloa.com";"";"Impressum /imprint. Nur generische Mail."
"patris.ai (Schipp & Sohn UG)";"https://www.patris.ai/";"Vielleicht";"• DSGVO-konforme KI-Assistenten für Unternehmen (Ulm)
• Automatisierung wiederkehrender Prozesse (patris Autopilot)
• Betrieb der Modelle in europäischen/deutschen Rechenzentren
• KI-Workshops und Schulungen";"";"";"";"Website nicht erreichbar (Verbindung fehlgeschlagen / 503)."
"Peregrine Technologies GmbH";"https://www.peregrine.ai/";"Ja";"• Edge-KI/Computer-Vision für Video-Telematik (Berlin)
• Macht Dashcams zu smarten Wahrnehmungssystemen
• Echtzeit-Fahrszenenanalyse, Anonymisierung im Petabyte-Maßstab
• Data-as-a-Service für Mapping, Logistik, Infrastruktur";"Dr. Steffen Heinrich, Jorit Schmelzle, Dr. Naja von Schmude";"hello@peregrine.ai";"";"Impressum /imprint. Nur generische Mail."
"Perelyn GmbH";"https://www.yellowshift.eu/";"Vielleicht";"• KI-Beratung und Entwicklung digitaler Produkte (ehem. Yellowshift GmbH, München)
• Strategie, Roadmaps und Use-Case-Entwicklung im Bereich generative KI
• Implementierung und Optimierung von Large Language Models
• Expertise aus DAX-40-Projekten zu GenAI";"";"";"";"Website nicht erreichbar (HTTP 502 bzw. DNS-Fehler, Domain aktuell offline)."
"Phantasma Labs";"https://phantasma.global/";"Ja";"• KI-gestützte Produktionsplanungslösung (AiPS) für Fertigungsbetriebe
• Optimierung von Produktionsabläufen als AI Co-Pilot
• Integration in ERP-/MES-Systeme
• Eigene Modelle via Reinforcement Learning und Simulation statt historischer Daten";"Ramakrishna Nanjundaiah (Director)";"sales@phantasma.global";"";"Impressum unter /info/imprint. Nur Sammel-/Sales-Mail belegt, kein persoenliches Muster."
"Phnx Alpha GmbH";"https://phnxalpha.de/";"Vielleicht";"• KI-Qualitätssicherung für regulierte Branchen (Medizin, Industrie, kritische Infrastruktur)
• AI-Guard: autonome Überwachung und Validierung von KI-Modellen
• AI-Insights: Analyse und Transparenz von ML-Modellen
• AI-Comply: EU-KI-Verordnungs-Compliance";"Jens-Michael Ruppelt & Konstanze Olschewski";"info@phnxalpha.de; contact@phnxalpha.de";"";"Nur Sammel-Mails im Impressum, kein persoenliches Muster ableitbar."
"Photonic Insights UG";"https://www.photonicinsights.com/";"Ja";"• Kombination photonischer Sensoren mit KI (Berlin)
• IoT-Plattform zur Interpretation von Remote-Sensordaten
• Maßgeschneiderte Hardware und Anwendungen für Landwirtschaft und Ökologie
• Machine Learning für Sensordatenanalyse und Qualitätskontrolle";"";"";"";"Website nicht aktiv (Wix 'ConnectYourDomain'-Fehler, Domain nicht verbunden). Kein Impressum abrufbar."
"Picalike GmbH";"https://www.picalike.com/";"Ja";"• SaaS für Visual Technology im E-Commerce (Hamburg, seit 2010)
• Computer Vision und Deep Learning: extrahiert 600+ Merkmale aus Produktbildern
• Visuelle Suche, Produktempfehlungen, Bild-/Objekt-/Farberkennung
• Kunden v.a. Fashion- und Living-Onlineshops";"";"";"";"Domain geparkt (Weiterleitung auf sedoparking.com), Website offline. Kein Impressum abrufbar."
"pionatic GmbH";"https://pionatic.com/";"Vielleicht";"• KI-Beratung und -Implementierung für den Mittelstand
• KI-Strategie, Prozessautomatisierung, Data Analytics und BI-Dashboards
• Individuelle KI-Anwendungen (Computer Vision, NLP)
• Aufbau von Dateninfrastruktur und Pipelines";"Julian Hermanns & Oliver Wischnewski";"info@pionatic.com";"";"Nur Sammel-Mail belegt, kein persoenliches Muster."
"Plan D GmbH";"https://www.plan-d.com/";"Ja";"• Inhabergeführtes KI-Beratungs- und Entwicklungsunternehmen (seit 2017)
• KI-Beratung, KI-Entwicklung (ML, Agenten) und KI-Operations (MLOps)
• Eigene Galilea-Plattform für Unternehmens-KI (Suche, Chat, Agenten)
• Computer-Vision-Systeme, ML-Modelle und RAG-Systeme";"Sebastian Bluhm, Dirk Schmachtenberg";"info@plan-d.com; sebastian.bluhm@plan-d.com; dirk.schmachtenberg@plan-d.com; pia.zillmann@plan-d.com; til.loose@plan-d.com; partnership@plan-d.com; presse@plan-d.com";"sebastian.bluhm@plan-d.com; dirk.schmachtenberg@plan-d.com";"Beide GF-Mails woertlich auf Team-/Kontaktseite belegt (Muster vorname.nachname@)."
